mode,particle_capacity,update_ms,render_ms,frame_ms,fps
CPU,640000,3.105295,0.292319,4.192587,238.516218
CPU,640000,4.286873,0.411856,4.859749,205.771943
CPU,640000,6.737921,0.745921,7.640462,130.882141
CPU,640000,8.473156,1.036984,9.648937,103.638364
CPU,640000,9.908310,1.240908,11.297291,88.516796
CPU,640000,11.667739,1.475359,13.302871,75.171743
CPU,640000,13.435926,1.697614,15.296818,65.373071
CPU,640000,15.248814,1.925479,17.344481,57.655228
CPU,640000,17.058200,2.103446,19.332296,51.726913
CPU,640000,18.834928,2.295021,21.304698,46.938004
CPU,640000,20.545965,2.512056,23.232921,43.042371
CPU,640000,22.316508,2.707000,25.209067,39.668268
CPU,640000,23.884968,3.050886,27.108251,36.889137
CPU,640000,25.823915,3.300915,29.303671,34.125418
CPU,640000,27.239661,3.440385,30.860315,32.404076
CPU,640000,28.962723,3.742320,32.892340,30.402215
CPU,640000,30.652024,4.009759,34.838062,28.704237
CPU,640000,32.523181,4.358296,37.071615,26.974816
CPU,640000,33.857012,4.672838,38.722735,25.824622
CPU,640000,35.802396,4.868633,40.850775,24.479340
CPU,640000,36.564668,4.239900,40.968052,24.409264
CPU,640000,37.102538,4.272800,41.533754,24.076803
CPU,640000,36.469121,4.357100,41.006413,24.386430
CPU,640000,36.361816,4.281132,40.805760,24.506344
CPU,640000,36.384479,4.367967,40.912600,24.442348
CPU,640000,36.374620,4.396840,40.936196,24.428259
CPU,640000,36.533054,4.259354,40.954129,24.417562
CPU,640000,36.454580,4.314184,40.930716,24.431530
CPU,640000,37.149074,4.427061,41.744326,23.955351
CPU,640000,36.640260,4.306060,41.109200,24.325455
CPU,640000,36.710246,4.301096,41.180712,24.283213
CPU,640000,36.274216,4.449976,40.888848,24.456546
CPU,640000,36.616800,4.327583,41.110304,24.324802
CPU,640000,36.040292,4.456367,40.660525,24.593878
CPU,640000,36.152964,4.358520,40.673236,24.586192
CPU,640000,36.290720,4.278052,40.729912,24.551980
CPU,640000,36.435063,4.260762,40.863500,24.471717
CPU,640000,36.549737,4.374562,41.080129,24.342669
CPU,640000,36.384112,4.250096,40.788520,24.516702
CPU,640000,36.278938,4.270396,40.700371,24.569801
CPU,640000,36.363496,4.244892,40.760240,24.533712
CPU,640000,36.825529,4.275867,41.251112,24.241770
CPU,640000,36.737408,4.288568,41.179992,24.283638
CPU,640000,36.421233,4.278175,40.855667,24.476409
CPU,640000,36.391000,4.303696,40.850296,24.479627
CPU,640000,36.178617,4.200633,40.537475,24.668532
CPU,640000,36.391872,4.210048,40.757476,24.535376
CPU,640000,36.313104,4.213075,40.686267,24.578318
CPU,640000,37.486196,4.352862,42.003483,23.807549
CPU,640000,36.812625,4.440767,41.421017,24.142334
CPU,640000,37.000050,4.505146,41.659704,24.004011
CPU,640000,36.387608,4.272408,40.812468,24.502316
CPU,640000,36.424829,4.240263,40.825896,24.494257
CPU,640000,36.358812,4.192720,40.706904,24.565857
CPU,640000,36.670021,4.293917,41.119550,24.319332
CPU,640000,36.736158,4.354225,41.248462,24.243328
CPU,640000,35.996276,4.234668,40.400572,24.752125
CPU,640000,36.909979,4.236296,41.302788,24.211441
CPU,640000,36.425380,4.330660,40.917892,24.439187
CPU,640000,35.081224,4.221164,39.458788,25.342897
CPU,640000,34.487473,4.118300,38.758315,25.800915
CPU,640000,34.483504,4.107977,38.754069,25.803742
GPU,640000,0.393520,0.047655,8.896391,112.405134
GPU,640000,0.379847,0.021543,4.052646,246.752359
GPU,640000,0.376781,0.034325,4.168000,239.923249
GPU,640000,0.373380,0.046963,4.169109,239.859418
GPU,640000,0.370483,0.059810,4.167792,239.935194
GPU,640000,0.366413,0.073425,4.168032,239.921402
GPU,640000,0.362847,0.087353,4.168523,239.893122
GPU,640000,0.359168,0.100706,4.168640,239.886414
GPU,640000,0.355610,0.114270,4.168610,239.888116
GPU,640000,0.353365,0.127898,4.168626,239.887181
GPU,640000,0.350861,0.141175,4.168355,239.902815
GPU,640000,0.349444,0.154726,4.168524,239.893056
GPU,640000,0.349623,0.168700,4.168058,239.919891
GPU,640000,0.348113,0.182810,4.169089,239.860545
GPU,640000,0.345519,0.197252,4.167749,239.937664
GPU,640000,0.343773,0.210991,4.168760,239.879470
GPU,640000,0.347571,0.225152,4.168425,239.898763
GPU,640000,0.352158,0.238950,4.168672,239.884568
GPU,640000,0.354833,0.251964,4.168170,239.913463
GPU,640000,0.358686,0.264853,4.168150,239.914614
GPU,640000,0.361284,0.277239,4.168234,239.909770
GPU,640000,0.364386,0.279578,4.167952,239.925983
GPU,640000,0.364241,0.280047,4.168011,239.922577
GPU,640000,0.365210,0.279492,4.168740,239.880635
GPU,640000,0.365380,0.279415,4.167742,239.938096
GPU,640000,0.365662,0.279138,4.168299,239.906005
GPU,640000,0.365217,0.279351,4.168215,239.910821
GPU,640000,0.365355,0.278805,4.168650,239.885790
GPU,640000,0.364971,0.278579,4.168728,239.881331
GPU,640000,0.364323,0.279696,4.140588,241.511567
GPU,640000,0.364258,0.279356,4.168619,239.887589
GPU,640000,0.363994,0.279945,4.168481,239.895549
GPU,640000,0.364505,0.279908,4.168827,239.875618
GPU,640000,0.365086,0.279706,4.168956,239.868192
GPU,640000,0.365828,0.279740,4.167942,239.926558
GPU,640000,0.367266,0.278810,4.167768,239.936561
GPU,640000,0.370031,0.279599,4.169158,239.856614
GPU,640000,0.373111,0.279957,4.167873,239.930564
GPU,640000,0.378483,0.279693,4.168995,239.865939
GPU,640000,0.385148,0.278933,4.168522,239.893176
GPU,640000,0.392657,0.279543,4.168349,239.903151
GPU,640000,0.397056,0.278805,4.167900,239.928981
GPU,640000,0.398619,0.278986,4.169079,239.861125
GPU,640000,0.398925,0.278891,4.167887,239.929749
GPU,640000,0.398852,0.280393,4.168289,239.906604
GPU,640000,0.399356,0.280060,4.168528,239.892840
GPU,640000,0.399629,0.278652,4.168445,239.897588
GPU,640000,0.399351,0.279616,4.168686,239.883752
GPU,640000,0.399138,0.278699,4.169489,239.837534
GPU,640000,0.399317,0.278724,4.168138,239.915286
GPU,640000,0.398878,0.278665,4.168404,239.899962
GPU,640000,0.398319,0.278399,4.167736,239.938423
GPU,640000,0.397995,0.278784,4.168882,239.872484
GPU,640000,0.398033,0.279381,4.168493,239.894830
GPU,640000,0.397619,0.279040,4.168181,239.912816
GPU,640000,0.397299,0.278076,4.168618,239.887661
GPU,640000,0.396651,0.278379,4.169202,239.854049
GPU,640000,0.397581,0.278208,4.137759,241.676709
GPU,640000,0.395705,0.278502,4.168156,239.914241
GPU,640000,0.395106,0.277892,4.168508,239.893991
