mode,particle_capacity,update_ms,render_ms,frame_ms,fps
CPU,640000,12.603814,1.385431,14.109692,70.873272
CPU,640000,12.661484,1.387127,14.171569,70.563819
CPU,640000,12.602752,1.382321,14.106041,70.891614
CPU,640000,12.702445,1.399334,14.222249,70.312366
CPU,640000,12.649581,1.386140,14.161474,70.614117
CPU,640000,12.621313,1.384600,14.127024,70.786317
GPU,640000,0.388371,0.020810,7.163277,139.600912
GPU,640000,0.388962,0.013619,4.168490,239.895046
GPU,640000,0.388582,0.017498,4.168113,239.916725
GPU,640000,0.387106,0.021956,4.168948,239.868672
GPU,640000,0.387068,0.026615,4.167112,239.974347
GPU,640000,0.385335,0.031309,4.167741,239.938144
GPU,640000,0.383936,0.035874,4.167904,239.928765
GPU,640000,0.382646,0.040112,4.168206,239.911375
GPU,640000,0.381278,0.044471,4.167056,239.977586
GPU,640000,0.380254,0.048631,4.168701,239.882865
GPU,640000,0.379524,0.053013,4.167403,239.957599
GPU,640000,0.378304,0.057852,4.168109,239.916965
GPU,640000,0.377404,0.062997,4.168504,239.894231
GPU,640000,0.375663,0.067712,4.169197,239.854312
GPU,640000,0.372924,0.071940,4.168120,239.916317
GPU,640000,0.372766,0.076220,4.168095,239.917780
GPU,640000,0.371861,0.081340,4.168832,239.875337
GPU,640000,0.369233,0.085773,4.167765,239.936777
GPU,640000,0.368104,0.090296,4.169670,239.827116
GPU,640000,0.366343,0.095763,4.167755,239.937304
GPU,640000,0.365662,0.099349,4.167696,239.940735
GPU,640000,0.365359,0.100126,4.167529,239.950330
GPU,640000,0.365342,0.100237,4.168608,239.888236
GPU,640000,0.365636,0.100160,4.168366,239.902168
GPU,640000,0.365675,0.099857,4.168761,239.879437
GPU,640000,0.365828,0.099853,4.168080,239.918620
GPU,640000,0.366349,0.099819,4.167727,239.938936
GPU,640000,0.365820,0.100181,4.168505,239.894183
GPU,640000,0.366187,0.099849,4.169083,239.860881
GPU,640000,0.365945,0.100455,4.167800,239.934738
GPU,640000,0.366054,0.100066,4.167854,239.931619
GPU,640000,0.366801,0.100476,4.169174,239.855679
GPU,640000,0.367262,0.099533,4.167919,239.927902
GPU,640000,0.366848,0.100237,4.168493,239.894854
GPU,640000,0.367091,0.100130,4.173383,239.613767
GPU,640000,0.367347,0.100070,4.163076,240.206986
GPU,640000,0.367377,0.100314,4.169771,239.821333
GPU,640000,0.368909,0.100587,4.167909,239.928477
GPU,640000,0.368913,0.100561,4.168254,239.908619
GPU,640000,0.368461,0.100471,4.168290,239.906508
GPU,640000,0.369694,0.100232,4.168346,239.903284
GPU,640000,0.369207,0.100130,4.167870,239.930732
GPU,640000,0.369865,0.099776,4.168514,239.893631
GPU,640000,0.369758,0.099878,4.167932,239.927158
GPU,640000,0.370901,0.100070,4.169140,239.857597
GPU,640000,0.372062,0.099866,4.168441,239.897851
GPU,640000,0.372467,0.100002,4.167785,239.935625
GPU,640000,0.372196,0.100189,4.151610,240.870436
GPU,640000,0.373401,0.099932,3.922536,254.937091
GPU,640000,0.368433,0.135680,4.058991,246.366620
GPU,640000,0.362435,0.101654,4.000952,249.940514
GPU,640000,0.363563,0.101372,4.168318,239.904902
GPU,640000,0.365632,0.103275,4.166482,240.010656
GPU,640000,0.364211,0.101103,4.169699,239.825479
GPU,640000,0.363200,0.107162,4.165574,240.062945
GPU,640000,0.366703,0.100604,4.167990,239.923800
GPU,640000,0.366106,0.106342,4.169360,239.844988
GPU,640000,0.366187,0.262225,4.165296,240.078962
GPU,640000,0.367206,0.292096,4.170735,239.765869
GPU,640000,0.362953,0.271185,4.163798,240.165330
GPU,640000,0.366699,0.291467,4.167778,239.935990
