mode,particle_capacity,update_ms,render_ms,frame_ms,fps
CPU,640000,2.611284,0.171410,4.178131,239.341452
CPU,640000,2.953841,0.216735,4.166794,239.992656
CPU,640000,3.422450,0.252951,4.077730,245.234469
CPU,640000,3.959528,0.326708,4.417183,226.388637
CPU,640000,4.515388,0.398994,5.037155,198.524760
CPU,640000,4.985918,0.466358,5.573348,179.425354
CPU,640000,5.622325,0.549178,6.299336,158.746888
CPU,640000,6.049811,0.612985,6.782205,147.444664
CPU,640000,6.552676,0.679542,7.341813,136.206148
CPU,640000,7.105204,0.759019,7.978497,125.336893
CPU,640000,7.611269,0.825474,8.549702,116.963145
CPU,640000,8.175968,0.899755,9.191281,108.798768
CPU,640000,8.681334,0.978226,9.773789,102.314462
CPU,640000,9.385240,1.060478,10.569306,94.613588
CPU,640000,10.067364,1.158364,11.358726,88.038041
CPU,640000,10.440508,1.214121,11.790173,84.816398
CPU,640000,10.906594,1.264646,12.299957,81.301095
CPU,640000,11.525980,1.355087,13.018630,76.812996
CPU,640000,11.981318,1.418492,13.534376,73.885935
CPU,640000,12.516018,1.459173,14.100246,70.920746
CPU,640000,12.642123,1.386370,14.151142,70.665674
CPU,640000,12.647262,1.392185,14.160145,70.620745
CPU,640000,12.708177,1.407207,14.241867,70.215512
CPU,640000,12.645509,1.389171,14.155973,70.641560
CPU,640000,12.712607,1.387803,14.225500,70.296299
CPU,640000,12.638519,1.386257,14.143961,70.701550
CPU,640000,12.731259,1.392280,14.258797,70.132143
CPU,640000,12.635379,1.385877,14.147606,70.683338
CPU,640000,12.548373,1.392306,14.054201,71.153100
CPU,640000,12.675775,1.386746,14.184951,70.497249
CPU,640000,12.771334,1.393683,14.291116,69.973543
CPU,640000,12.954494,1.396681,14.488596,69.019802
CPU,640000,12.723701,1.390621,14.243570,70.207118
CPU,640000,12.665745,1.390215,14.185686,70.493595
CPU,640000,12.582344,1.392459,14.094141,70.951466
CPU,640000,12.692099,1.383956,14.197132,70.436759
CPU,640000,12.665329,1.388444,14.176783,70.537865
CPU,640000,12.581866,1.383875,14.080563,71.019886
CPU,640000,12.626200,1.393066,14.146179,70.690468
CPU,640000,12.661945,1.388377,14.178113,70.531249
CPU,640000,12.741223,1.392841,14.263784,70.107622
CPU,640000,12.626248,1.383610,14.128518,70.778830
CPU,640000,12.634589,1.386717,14.151937,70.661704
CPU,640000,12.698211,1.389986,14.220220,70.322401
CPU,640000,12.628159,1.388289,14.141736,70.712678
CPU,640000,12.572669,1.388306,14.077628,71.034693
CPU,640000,12.650887,1.392031,14.170521,70.569035
CPU,640000,12.568437,1.389382,14.080428,71.020568
CPU,640000,12.616513,1.387096,14.124186,70.800541
CPU,640000,12.577607,1.384955,14.079327,71.026123
CPU,640000,12.533263,1.388483,14.042259,71.213612
CPU,640000,12.655900,1.389966,14.167585,70.583662
CPU,640000,12.928438,1.417519,14.478859,69.066214
CPU,640000,12.673056,1.397261,14.199611,70.424462
