mode,particle_capacity,update_ms,render_ms,frame_ms,fps
CPU,640000,3.993278,0.463907,5.026604,198.941471
CPU,640000,7.066428,0.895920,8.098538,123.479079
CPU,640000,10.486032,1.341101,11.965685,83.572319
CPU,640000,14.317390,1.914975,16.400003,60.975598
CPU,640000,17.598670,2.292228,20.052740,49.868497
CPU,640000,20.562674,2.685353,23.403174,42.729246
CPU,640000,23.714214,3.120838,26.991141,37.049194
CPU,640000,26.947330,3.616336,30.725924,32.545807
CPU,640000,30.120941,4.103983,34.389062,29.079013
CPU,640000,33.251135,4.558600,37.974723,26.333306
CPU,640000,36.322683,5.091538,41.573771,24.053628
CPU,640000,39.520677,5.705005,45.395264,22.028730
CPU,640000,42.707981,6.240648,49.127729,20.355104
CPU,640000,45.783389,6.608032,52.577074,19.019697
CPU,640000,48.940206,7.066444,56.192944,17.795828
CPU,640000,52.114488,7.647437,59.947744,16.681195
CPU,640000,55.139775,8.101213,63.445875,15.761466
CPU,640000,58.304873,8.571027,67.069193,14.909975
CPU,640000,61.428264,9.338250,70.956236,14.093194
CPU,640000,64.598136,9.516329,74.304743,13.458091
CPU,640000,65.414246,8.251077,73.823569,13.545809
CPU,640000,67.023746,8.384454,75.572585,13.232312
CPU,640000,65.959786,8.311736,74.445029,13.432730
CPU,640000,65.919446,8.396646,74.493062,13.424069
CPU,640000,65.531879,8.262657,73.963557,13.520172
CPU,640000,65.389100,8.239354,73.796100,13.550852
CPU,640000,65.618193,8.246771,74.026643,13.508650
CPU,640000,65.689477,8.254654,74.105254,13.494320
CPU,640000,65.402807,8.234143,73.799650,13.550200
CPU,640000,65.481208,8.334446,73.978023,13.517528
CPU,640000,65.431486,8.238650,73.845879,13.541717
CPU,640000,65.449823,8.243815,73.860477,13.539041
CPU,640000,65.687257,8.259714,74.108607,13.493709
CPU,640000,65.542400,8.300869,74.012385,13.511252
CPU,640000,65.404136,8.245286,73.809650,13.548364
CPU,640000,66.325208,8.561838,75.054862,13.323587
CPU,640000,65.554743,8.287114,74.007471,13.512149
CPU,640000,65.419777,8.270285,73.852762,13.540455
CPU,640000,65.465029,8.298379,73.937207,13.524990
CPU,640000,65.795123,8.268054,74.228338,13.471944
CPU,640000,65.548329,8.241200,73.946400,13.523309
CPU,640000,65.552900,8.260777,74.000785,13.513370
CPU,640000,65.549379,8.535236,74.253086,13.467454
CPU,640000,65.733815,8.285385,74.179031,13.480899
CPU,640000,65.922171,8.356414,74.449964,13.431840
CPU,640000,65.913769,8.261877,74.342546,13.451248
CPU,640000,65.607629,8.294407,74.071864,13.500403
CPU,640000,65.391508,8.216385,73.784700,13.552945
CPU,640000,65.409414,8.271536,73.848500,13.541236
CPU,640000,65.427523,8.233185,73.835669,13.543590
CPU,640000,66.176164,8.342764,74.682607,13.389999
CPU,640000,65.293862,8.218215,73.675931,13.572954
CPU,640000,65.418457,8.235393,73.818579,13.546725
CPU,640000,65.489638,8.240054,73.908554,13.530234
CPU,640000,65.852914,8.311429,74.331886,13.453177
CPU,640000,65.366054,8.248677,73.774292,13.554857
CPU,640000,65.422636,8.229100,73.814379,13.547496
CPU,640000,65.554492,8.248238,73.962438,13.520376
CPU,640000,65.663479,8.237214,74.062421,13.502124
CPU,640000,65.648123,8.242069,74.060669,13.502443
CPU,640000,65.705779,8.270293,74.156250,13.485040
